name,integers
ARKH 1 a,𐄈
ARKH 1 b,𐄉𐝫 𐄎
ARKH 2,𐄋 𐄐𐄈 𐄌 𐄊
ARKH 3 a,𐄉 𐄈𐝫 𐝫𐄈 𐄈 𐄐𐄉𐝫 𐄈 𐄈 𐄈𐝫 𐄉
ARKH 3 b,𐄌𐝫 𐄇𐝫 𐝫𐄈 𐄊 𐄇
ARKH 4 a,𐄋 𐄊 𐄋
ARKH 4 b,𐄐 𐄐 𐝫𐄏 𐄉 𐝫𐄉
ARKH 5,𐄓𐄇𐝫 𐝫𐄍 𐄓𐝫 𐄌
GO 2 r,𐄈
GO 2 v,𐄇 𐄇𐝫
GO Wc 1 b,𐄋
GO Wc 3,"𐄑,𐄈"
HT 1,𐄙𐄘𐄍 𐄖 𐄔𐄈 𐄙𐄏 𐄙𐄋
HT 10 a,𐄊 𐄐𐄌 𐄊 𐄌 𐄐𐄊𐝫 𐄈 𐄎 𐄉
HT 10 b,𐄇 𐄈 𐄐𐄋 𐄌 𐄌 𐄏
HT 100,𐄔𐄎 𐄐𐄈 𐄈 𐄋 𐄐𐄌 𐄘𐄍 𐄋 𐄈 𐄈 𐄈 𐄉
HT 101,𐄓 𐄎 𐄎 𐄈 𐄓𐄇 𐄐 𐄉 𐄈 𐝫𐄑 𐄉 𐄈𐝫 𐝫𐄉 𐄇 𐄇
HT 102,𐄡𐄖𐄌 𐄒𐄉𐝫 𐄒𐄉 𐄐 𐄉 𐄐 𐄋 𐄢𐄕
HT 103,𐄓 𐝫𐄌 𐄐𐄉 𐄇 𐄇 𐄋
HT 104,𐄓𐄋 𐄑 𐄑𐄏 𐄘𐄋
HT 105,𐄚𐄒𐄊 𐄚𐄒𐄋
HT 106,𐄌𐝫 𐄋 𐄇 𐄎𐝫 𐄉𐝫
HT 107,𐝫𐄉𐝫 𐄗𐄌 𐄍
HT 108,𐄇 𐄖 𐄈 𐄋𐝫 𐄐
HT 109,𐄊𐝫 𐄊 𐄙𐄑𐄏 𐄙𐄑𐄉
HT 11 a,𐝫𐄉 𐄈 𐄇 𐄐 𐄇 𐄉 𐄐𐄋
HT 11 b,𐄓 𐄒 𐄔 𐄒 𐄒 𐄙𐄗
HT 110 a,𐄑 𐄇 𐄙𐝫 𐄐𐄋𐝫 𐝫𐄕
HT 110 b,𐄑 𐄉𐝫 𐝫𐄇 𐄋 𐝫𐄈 𐄇 𐝫𐄇 𐄈
HT 111 a,𐄎 𐄎 𐄐𐄊𐝫
HT 111 b,𐝫𐄐𐄎 𐄊𐝫 𐝫𐄉 𐄇𐝫
HT 112 b,𐄌𐝫
HT 113,𐝫𐄐𐄐𐄐 𐄈
HT 113 ter,𐝫𐄊𐝫
HT 114 a,𐄐 𐄍 𐄇 𐄇 𐄉
HT 114 b,𐄏
HT 115 a,𐄈 𐄇 𐄇 𐄇 𐄈
HT 115 b,𐄇 𐄇 𐄇 𐄇
HT 116 a,𐄐𐄌 𐄓 𐄋 𐄐𐄌 𐄇 𐄌 𐄉 𐄋 𐄋 𐄇 𐄈 𐄐𐄈 𐄐𐄈 𐄑 𐄉
HT 116 b,𐄙𐝫 𐄐𐄋 𐄐𐄍
HT 117 a,𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄐 𐄇 𐄇 𐄇 𐄇 𐄇
HT 117 b,𐄇 𐄇
HT 118,𐄐𐄋 𐄌 𐄊 𐄐 𐄒
HT 119,𐄒𐄊 𐄕𐄍 𐄐𐄉 𐄐 𐄍 𐄍 𐄐 𐄈 𐄎 𐄙𐄕
HT 12,𐄋 𐄋 𐄇 𐄒 𐄋 𐄉 𐄇 𐄔
HT 120,𐄖𐄊 𐄕𐄈 𐄑 𐄕 𐄓𐄎 𐄉
HT 121,𐄐 𐄋 𐄊 𐄈 𐄉 𐄉
HT 122 a,𐄈𐝫 𐝫𐄈 𐄈 𐄇 𐄈 𐄉 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄒𐄇 𐄇
HT 122 b,𐄍𐝫 𐄈 𐄈 𐄈 𐄈 𐄕𐄋 𐄘𐄍
HT 123 a,𐄒𐄇 𐄎 𐄇 𐄒𐄇 𐄎 𐄐𐄌 𐄊 𐄐𐄋 𐄊 𐄘𐄉 𐝫𐄑𐄋 𐄌𐝫
HT 123 b,𐄐𐄇 𐄇 𐄊 𐄇 𐄐 𐄑 𐄋𐝫
HT 125 a,𐄇 𐄇 𐄈 𐄇
HT 125 b,𐝫𐄑 𐄑 𐄍 𐄐 𐄑𐄉
HT 126 a,𐄇 𐄇𐝫 𐄇 𐝫𐄕𐄈𐝫 𐝫𐄈𐝫
HT 126 b,𐄉 𐝫𐄌 𐄊 𐄌
HT 127 a,𐄇𐝫 𐄇
HT 127 b,𐄐𐄉𐝫 𐄙𐄔𐄌 𐄖𐄈 𐄑𐄊 𐄐𐄋 𐄐𐄇 𐄐𐄊 𐄚𐄘𐄈
HT 128 a,𐄐 𐄐𐄈𐝫 𐄌 𐄊
HT 128 b,𐄌 𐄇 𐄌
HT 129,𐄒𐄉 𐄐 𐄑𐄈 𐄓 𐄇𐝫 𐄌
HT 13,𐄋𐝫 𐄔𐄌 𐄑𐄍 𐄐𐄎 𐄐𐄏 𐄋 𐄙𐄒
HT 130,𐄉 𐄎 𐄌 𐄉
HT 131 a,𐄕𐄈 𐝫𐄛𐄔𐄉 𐄔𐄎𐝫 𐄐𐄈 𐄐𐄈
HT 131 b,𐄒𐝫 𐄈 𐝫𐄜𐄔𐄈
HT 132,𐄋 𐄑𐄍 𐄇𐝫
HT 133,𐄔𐄋
HT 135 a,𐄐𐝫 𐝫𐄇 𐄈
HT 135 b,𐄈
HT 136,𐄒𐝫 𐝫𐄑𐄉𐝫
HT 136 b,𐝫𐄑𐄊𐝫
HT 137,𐄉𐝫 𐄌𐝫 𐄈
HT 139,𐄇
HT 14,𐄒 𐄉 𐄉 𐄏 𐄐𐄉 𐄓𐄋 𐄋 𐄊 𐄌 𐄐𐄊
HT 140,𐄇𐝫 𐄇 𐄉 𐝫𐄊 𐄉 𐄇 𐄇 𐄇 𐄈 𐄌
HT 141,𐝫𐄇
HT 146,𐝫𐄒 𐄒 𐄒 𐄒
HT 15,𐄞𐄗𐄊 𐄝𐄖 𐄜
HT 154,𐝫𐄙 𐝫𐄍𐝫 𐝫𐄓𐝫
HT 154 A,𐄌𐝫 𐄌
HT 154 C,𐝫𐄈
HT 154 E,𐄐𐄊𐝫 𐝫𐄉
HT 154 G,𐝫𐄌
HT 154 K,𐝫𐄈
HT 154 L,𐝫𐄈𐝫
HT 154 N,𐝫𐄌
HT 17,𐄒𐄍 𐄐 𐄋
HT 18,𐄑 𐄈 𐄉 𐄐 𐄐
HT 19,𐄒 𐄋 𐄓𐄉
HT 2,𐄑𐝫 𐄐𐄍 𐄉𐝫 𐄔𐄊𐝫 𐄓𐄍 𐄇
HT 21,𐄙𐄕𐄇 𐄐𐄇 𐄉 𐄍 𐄇
HT 22,𐄚𐄒 𐄙𐄐𐄉
HT 23 a,𐄐 𐄐 𐄐 𐄐𐄍 𐄐 𐄇
HT 23 b,𐄇 𐄍𐝫
HT 24 a,𐝫𐄌 𐄐 𐝫𐄏 𐄌
HT 24 b,𐄇 𐄇 𐄇
HT 25 a,𐝫𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇
HT 25 b,𐄐𐄌 𐄑𐄎 𐄑𐄊 𐄔𐄈
HT 26 a,𐄑𐄇 𐄐𐄋 𐄋𐝫
HT 26 b,𐄏 𐄉 𐄊 𐄐𐄈 𐄈𐝫 𐄍𐝫
HT 27 a,𐄘 𐝫𐄔 𐄔𐄇 𐄑 𐄓𐄉 𐄑𐄇 𐄋 𐄓𐄈 𐄛𐄒𐄋 𐄏 𐄐 𐄍
HT 27 b,𐄍 𐄇 𐄐𐄊 𐄊 𐄖 𐄊 𐄓
HT 28 a,𐄋 𐄈 𐄇 𐄇 𐄈 𐄉 𐄌 𐄋 𐄈 𐄉 𐄐
HT 28 b,𐄑 𐄋 𐄈 𐄊 𐄌 𐄌 𐄉 𐄉
HT 29,𐄈𐝫 𐄇 𐄈𐝫 𐄈 𐄇 𐄈 𐄈 𐄇
HT 3,𐄈 𐝫𐄈 𐄈𐝫 𐝫𐄊 𐄇 𐄋 𐄉𐝫 𐄈𐝫
HT 30,𐄊 𐝫𐄐𐄊 𐄍 𐄎 𐄊 𐄎 𐄇𐝫
HT 31,𐝫 𐝫𐄋 𐄐 𐄐 𐄐 𐄒𐝫 𐝫𐄐 𐄜 𐄛 𐄤
HT 32,𐄇 𐄇 𐄇 𐄙𐄎 𐄕𐄋 𐄙𐄊 𐄔𐄉
HT 33,𐄇 𐝫𐄉 𐄘 𐄙 𐄙
HT 34,𐄚𐝫 𐄈 𐄚𐄓𐄋 𐄙 𐄖 𐄒𐄍
HT 35,𐄇 𐄋
HT 36,𐄑𐄓𐄊 𐄍 𐄌
HT 37,𐝫𐄌 𐄇 𐄐𐄇 𐄐𐄋 𐄐𐄍
HT 38,𐄇 𐄇 𐄉 𐄉 𐄈 𐄇
HT 39,𐄐𐝫 𐄎 𐄐 𐄙 𐄈𐝫
HT 4,𐄈 𐄇
HT 40,𐄚𐄍 𐄙𐄒𐄊
HT 41 a,𐄐 𐄐 𐄐 𐄈
HT 42 + 59,𐄎 𐝫𐄍 𐄎 𐄈𐝫 𐝫𐄈 𐄈
HT 43,𐄋𐝫
HT 44 a,𐄉 𐄋𐝫 𐄋 𐄇𐝫 𐄇
HT 44 b,𐝫𐄋 𐄖𐄋 𐝫𐄐𐄎 𐝫𐄐
HT 45 a,𐄈𐝫 𐄈
HT 45 b,𐝫𐄎 𐄍 𐄑
HT 46 a,𐄇𐝫 𐄓𐄉
HT 46 b,𐝫𐄐𐄌 𐝫𐄈𐄊
HT 47 a,𐄑𐝫 𐄑𐝫 𐄐 𐝫𐄋
HT 49 a,𐄇𐝫 𐄇 𐄇 𐄇𐝫 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄋 𐄊 𐄇𐝫
HT 5,𐄒𐝫 𐄐𐝫
HT 50 a,𐄇 𐄉
HT 50 b,𐄇𐝫
HT 51 a,𐝫𐄋 𐄕𐄊
HT 51 b,𐄐𐄈𐝫
HT 52 a,𐝫𐄊
HT 52 b,𐄚𐄇𐝫
HT 53 a,𐝫𐄓 𐝫𐄙
HT 53 b,𐝫𐄐𐄎𐝫
HT 54 b,𐝫𐄊
HT 55 a,𐄇𐝫 𐄇 𐄇 𐄇𐝫
HT 55 b,𐄇 𐄇
HT 56 a,𐝫𐄐𐄇
HT 56 b,𐄑𐝫
HT 57 a,𐝫𐄇
HT 57 b,𐄎
HT 58,𐄐𐄏 𐄉 𐄓𐄇
HT 6 a,𐄐𐄋 𐄑𐄊 𐄐 𐄈 𐄋 𐄑𐄈 𐄐𐄋
HT 6 b,𐄉 𐄇 𐄉 𐄕𐄌 𐄉 𐄒𐄋 𐄐𐄍
HT 60,𐄋
HT 61,𐄌𐝫
HT 62,𐄐𐄋 𐄊𐝫 𐝫𐄐𐄎 𐄌 𐝫𐄊 𐝫𐄊 𐄐𐄍𐝫 𐝫𐄑𐄋𐝫
HT 63,𐄇 𐄇 𐄈
HT 64,𐄈 𐝫𐄉 𐄌
HT 66,𐄈 𐄇
HT 67,𐄜𐄑𐝫 𐄜𐝫
HT 68,𐝫𐄊𐝫
HT 69,𐝫𐄋 𐄎𐝫 𐄊𐝫 𐄐𐄈𐝫
HT 7 a,𐄉 𐄊 𐄇 𐄇 𐄇
HT 7 b,𐄇 𐄈
HT 70,𐄒𐝫 𐄈 𐄉𐝫
HT 73,𐝫𐄇𐝫 𐝫𐄎 𐝫𐄑𐄎
HT 74,𐄑𐝫
HT 79 + 83,𐄇𐝫 𐄉 𐄉
HT 8 a,𐄐 𐄇 𐄉 𐄈
HT 8 b,𐄇 𐄋 𐄈 𐄇 𐄇
HT 85 a,𐄐𐄈 𐄐𐄈 𐄌 𐄑𐄊 𐄋 𐄉 𐄊 𐝫𐄕𐄌
HT 85 b,𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇
HT 86 a,𐄑 𐄑 𐄑 𐄐 𐄑 𐄑
HT 86 b,𐄑 𐄑
HT 87,𐄇 𐄇 𐄇 𐄇 𐄇 𐄇
HT 88,𐄑 𐄌 𐄍 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄌
HT 89,𐄑𐄉 𐄑𐄈 𐄑𐄊 𐄐𐄉 𐄋 𐄗𐄍 𐄈 𐄈 𐄌𐝫
HT 9 a,𐄋 𐄐 𐄊 𐄈 𐄈 𐄈 𐄊 𐄒𐄇
HT 9 b,𐄉 𐄉 𐄎 𐄈 𐄈 𐄈 𐄊 𐄑𐄊
HT 90,𐄑 𐄐 𐄉 𐄇 𐄇 𐄇 𐄇
HT 91,𐄋 𐄉𐝫
HT 92,𐄞𐄗 𐄐𐄈
HT 93 a,𐄐𐄈 𐄓𐄉 𐄋 𐄑𐄌 𐄑 𐄋 𐄌 𐄇 𐄉 𐄈 𐄈 𐄑 𐄐 𐄊
HT 93 b,𐝫𐄙𐄕𐄋
HT 94 a,𐄕𐄈 𐄑 𐄍 𐄐𐄎 𐄊 𐄙𐄐 𐄋 𐄉 𐝫𐄈 𐄐𐄇 𐝫𐄐𐄊
HT 94 b,𐄇 𐄇 𐄇 𐄇 𐄇 𐄋 𐄇 𐄇
HT 95 a,𐄐 𐄐 𐄑 𐄐 𐄐 𐄍
HT 95 b,𐄐 𐄐 𐄐 𐄐 𐄐 𐄐
HT 96 a,𐄋 𐄊 𐄇 𐄇 𐄇 𐄑 𐄈
HT 96 b,𐄓 𐄊 𐄈
HT 97 a,𐄗𐄈 𐄒𐄉 𐄑𐄋 𐄌 𐄊 𐄊 𐄋 𐄐𐄋 𐄉 𐝫𐄋 𐄈 𐄉𐝫 𐄋
HT 98 a,𐄇𐝫 𐄇
HT 99 a,𐄊𐝫 𐄊𐝫 𐄇
HT 99 b,𐄌 𐄈 𐄇 𐄇
HT Wa 1021 bis,𐄉
"HT Zd 157, 156, 155",𐄇 𐄇 𐄈 𐄉 𐝫𐄋𐝫
KH 1,𐄖𐝫 𐄉
KH 10,𐝫𐄈 𐄐 𐄘
KH 11,𐄉 𐄊 𐄉 𐄇 𐄉 𐄇 𐄇
KH 12,𐄈
KH 13,𐝫𐄈 𐝫𐄉
KH 14,𐄌𐝫 𐄈 𐄈𐝫
KH 16,𐝫𐄑𐄈
KH 17,𐝫𐄊 𐄇
KH 18,𐝫𐄋 𐄇 𐄑𐄈 𐄇
KH 19,𐄐𐄉𐝫 𐝫𐄈
KH 2,𐝫𐄑
KH 21,𐄈𐝫
KH 22,𐄍 𐄊
KH 24,𐄐𐄈𐝫
KH 25,𐄙𐄓𐝫 𐄐𐝫
KH 26,𐄕𐝫 𐄈
KH 27,𐄊𐝫
KH 29,𐝫𐄇 𐝫𐄈
KH 3,𐄇
KH 30,𐄏
KH 31,𐝫𐄇
KH 32,𐝫𐄋𐝫
KH 33,𐝫𐄇
KH 34,𐄈
KH 35,𐝫𐄇
KH 36,𐄊𐝫
KH 37,𐄈
KH 4,𐄊
KH 41,𐝫𐄉
KH 43,𐄈
KH 47,𐝫𐄌
KH 5,𐄈 𐄈 𐄉𐝫 𐄈
KH 50,𐄈 𐄈 𐄇
KH 51,𐄉 𐝫𐄊
KH 54,𐄇 𐄇𐝫
KH 55,𐄉𐝫
KH 57,𐄇𐝫
KH 58,𐄊 𐄇 𐄊𐝫
KH 59,𐝫𐄇 𐄋 𐄋
KH 6,𐄇 𐄇 𐄇 𐄇 𐝫𐄎 𐄈
KH 61,𐄑𐝫 𐄇 𐄈 𐄇
KH 63,𐄐𐝫
KH 66,𐝫𐄒𐝫
KH 67,𐝫𐄇𐝫
KH 7 a,𐄊 𐄇𐝫 𐄐 𐄊 𐝫𐄐𐄎 𐄇
KH 7 b,𐄇 𐄐𐄊 𐄈
KH 73,𐝫𐄇 𐄇 𐄇𐝫
KH 76,𐄊𐝫
KH 78,𐝫𐄒𐝫
KH 8,𐄈 𐄇 𐄇
KH 81,𐄋𐝫 𐄢𐝫 𐝫𐄉
KH 82,𐄇𐝫
KH 83,𐄐𐄋
KH 84,𐄇
KH 86,𐝫𐄉𐝫
KH 87,𐄇
KH 88,𐄐 𐄎
KH 9,𐝫𐄈 𐄇𐝫
KH 91,𐄇 𐄇
KH 92,𐄐𐝫 𐄇
KH 94,𐝫𐄐𐄍
KH 95,𐄍𐝫
KN 1 a,𐄚𐄓
KN 1 b,𐄙𐄋
KN 2,𐄈 𐄉 𐄋𐝫
KN 22 a,𐝫𐄑𐝫
KN 22 b,𐄙𐄐
KN 28 a,𐄇𐝫 𐄏𐝫 𐄋𐝫
KN 28 b,𐝫𐄉
KN Zb <27>,𐄐𐄍
KN Zb 35,𐄙 𐄈
MA 10 a,𐄈 𐄊 𐄊𐝫
MA 10 b,𐄇 𐄉 𐝫𐄊 𐄈 𐄈
MA 10 c,𐄈 𐄉
MA 2 a,𐄋
MA 2 b,𐄊 𐄇 𐄈
MA 2 c,𐄉 𐄌
MA 4 a,𐄐𐄋 𐄙𐄑 𐄔𐄉 𐄒
MA 4 b,𐄙𐄑𐄉 𐄙𐄕
MA 6 a,𐄡𐄓𐄇 𐄒𐄋
MA 6 b,𐄞𐄑𐝫
MA 6 c,𐄊𐝫 𐄗𐄍𐝫 𐄚𐄒𐄉𐝫
MA 6 d,𐄚𐝫
MA 9,𐝫𐄣
MA Wc <5>,𐄊
PA 1,𐄒𐄋
PE 1,𐄔𐝫 𐄑𐄌 𐄖𐄈 𐄒𐄌
PE 2,𐄉 𐄇 𐄇
PE Ws,𐄇
PE Wy 5,𐄇
PE Zb 7,𐄇
PE Zg 5,𐄇
PH (?) 31 a,𐄇 𐄇 𐄇 𐄇 𐝫𐄇 𐄇 𐄋 𐄉𐝫
PH (?) 31 b,𐄈 𐄇𐝫 𐄇 𐄇 𐄋 𐝫𐄇 𐄇𐝫
PH 1 a,𐄇
PH 1 b,𐄇 𐄈
PH 12 a,𐄐𐝫
PH 15 a,𐄐𐄇𐝫
PH 2,𐄇 𐄕 𐄕 𐄕
PH 25,𐄈𐝫
PH 28 b,𐄙𐄈𐝫 𐝫𐄈 𐄌 𐝫𐄌
PH 3 a,𐄇 𐄇 𐝫𐄇
PH 3 b,𐄇
PH 7 b,𐄇
PH 8 a,𐄍 𐄐𐄇 𐄈 𐝫𐄐𐄌 𐄇
PH 8 b,𐄇
PH 9 b,𐄇
PH Wc 41,𐄇
PK 1,𐄇 𐄈 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇
PK 3,𐄉 𐄑 𐝫𐄒𐄇 𐄖𐄈 𐄈 𐄉 𐄉
PYR 1,𐄘
SAM Wa 1,𐄐
SY Za 2,𐄇
THE tab. 4,𐄍𐝫 𐄓𐄌𐝫
THE tab. 6,𐝫𐄐𐝫 𐝫𐄚𐝫
THE Zb 13,𐄙𐄑
TY 2,𐄝 𐄚𐄘 𐄔 𐄐 𐄙 𐝫𐄌 𐄗𐄊 𐄐𐄍𐝫 𐄒 𐄙𐄕 𐄚𐄔
TY 3 a,𐄐𐄋 𐄑𐄈 𐄋 𐄉 𐄍 𐄔𐄇 𐄈 𐄇 𐄊 𐄊𐝫 𐄑𐄇 𐄈𐝫 𐄍 𐄋 𐄇
TY 3 b,𐄌𐝫 𐄊 𐄐𐄇𐝫 𐄈𐝫 𐝫𐄚𐄑𐝫
ZA 1 a,𐄓𐄈 𐄋
ZA 1 b,𐄓𐄍
ZA 10 a,𐄈 𐄇 𐄇 𐄇 𐄇 𐄇 𐄇 𐄈
ZA 10 b,𐄈 𐄋 𐄌 𐄋 𐄋 𐄋 𐄊 𐄉 𐄈 𐄇 𐄈 𐄇𐝫
ZA 11 a,𐄈 𐄊 𐄇𐝫 𐄈
ZA 11 b,𐄇𐝫 𐄇𐝫 𐄈 𐄉
ZA 12 a,𐄕𐄊𐝫 𐄐𐄉𐝫 𐄑𐄎 𐄌
ZA 12 b,𐄌𐝫 𐄓𐝫 𐄐𐄉 𐄑𐄌
ZA 14,𐄇 𐄇 𐄉 𐄎 𐄇 𐄓𐄋𐝫 𐄈
ZA 15 a,𐄔𐄍 𐄐 𐄉 𐄌 𐄈 𐄋 𐄊 𐄋
ZA 15 b,𐄉 𐄖𐄎 𐄐𐄍
ZA 16,𐄌𐝫 𐄊𐝫
ZA 18 a,𐄈 𐄈
ZA 18 b,𐄈
ZA 20,𐄊 𐄇 𐄌 𐄐𐄈 𐄉 𐄙𐄒
ZA 21 a,𐄓𐝫 𐄈 𐄋 𐝫𐄉 𐝫𐄈
ZA 21 b,𐝫𐄈
ZA 22,𐄇𐝫 𐝫𐄇 𐄇𐝫 𐝫𐄌 𐄙𐝫
ZA 26 a,𐄐𐄉
ZA 26 b,𐄍
ZA 27,𐄈
ZA 28,𐄇𐝫
ZA 29,𐄙𐝫
ZA 30,𐝫𐄍𐝫
ZA 31,𐄈𐝫
ZA 33,𐝫𐄑𐄇𐝫
ZA 4 a,𐝫𐄋 𐝫𐄉𐝫 𐄊 𐄇𐝫 𐄐𐄎 𐄊 𐄐𐄉 𐄋 𐄔 𐄉
ZA 4 b,𐄙𐄊𐝫
ZA 5 a,𐄍 𐄌
ZA 5 b,𐄑 𐄇 𐄉
ZA 6 a,𐄐𐄏 𐝫𐄙𐄗 𐄐𐄋 𐄐 𐝫𐄈 𐝫𐄑𐝫 𐝫𐄑𐄋 𐝫𐄑
ZA 6 b,𐄔 𐄓 𐄐 𐄓𐝫 𐝫𐄑
ZA 7 a,𐄋 𐄊
ZA 8,𐄇𐝫 𐄈 𐄈 𐄊
ZA 9,𐄋 𐄊 𐄈 𐄈 𐄇
ZA Zb 3,𐄒𐄈
ZA Zg 34,𐄕
