doc_id,Classes
HT 1,V
HT 2,F
HT 3,V
HT 4,V
HT 5,V
HT 6 a,N
HT 6 b,N
HT 7 a,B
HT 7 b,B
HT 8 a,F
HT 8 b,F
HT 9 a,P
HT 9 b,P
HT 10 a,V
HT 10 b,V
HT 11 a,V
HT 11 b,V
HT 12,M
HT 13,P
HT 14,M
HT 15,E
HT 16,L
HT 17,P
HT 18,M
HT 19,P
HT 20,L
HT 21,M
HT 22,E
HT 23 a,O
HT 23 b,O
HT 24 a,B
HT 24 b,B
HT 25 a,M
HT 25 b,M
HT 26 a,A
HT 26 b,A
HT 27 a,M
HT 27 b,M
HT 28 a,V
HT 28 b,V
HT 29,M
HT 30,K
HT 31,C
HT 32,M
HT 33,M
HT 34,M
HT 35,M
HT 36,E
HT 37,U
HT 38,M
HT 39,K
HT 40,E
HT 41 a,U
HT 41 b,U
HT 42 + 59,F
HT 43,E
HT 44 a,M
HT 44 b,M
HT 45 a,U
HT 45 b,U
HT 46 a,X
HT 46 b,X
HT 47 a,U
HT 47 b,U
HT 49 a,V
HT 49 b,V
HT 50 a,M
HT 50 b,M
HT 51 a,N
HT 51 b,N
HT 52 a,E
HT 52 b,E
HT 53 a,F
HT 53 b,F
HT 54 a,X
HT 54 b,X
HT 55 a,V
HT 55 b,V
HT 56 a,F
HT 56 b,F
HT 57 a,U
HT 57 b,U
HT 58,F
HT 60,M
HT 61,E
HT 62,M
HT 63,U
HT 64,C
HT 65,U
HT 66,B
HT 67,N
HT 68,B
HT 69,V
HT 70,N
HT 72,X
HT 73,X
HT 74,X
HT 75,X
HT 78,X
HT 80,X
HT 81,U
HT 82,E
HT 84,B
HT 87,V
HT 88,A
HT 89,A
HT 90,M
HT 91,M
HT 92,M
HT 100,A
HT 101,M
HT 102,E
HT 103,N
HT 104,V
HT 105,B
HT 106,G
HT 107,F
HT 108,A
HT 109,X
HT 113,U
HT 118,C
HT 119,B
HT 120,E
HT 121,M
HT 129,M
HT 130,M
HT 132,M
HT 133,E
HT 136,C
HT 137,X
HT 139,M
HT 140,F
HT 141,X
HT 142,X
HT 144,U
HT 146,V
HT 147,X
HT 154,X
HT 110 a,M
HT 110 b,M
HT 111 a,X
HT 111 b,X
HT 112 a,G
HT 112 b,G
HT 113 ter,U
HT 114 a,M
HT 114 b,M
HT 115 a,E
HT 115 b,E
HT 116 a,M
HT 116 b,M
HT 117 a,V
HT 117 b,V
HT 122 a,B
HT 122 b,B
HT 123 a,M
HT 123 b,M
HT 125 a,M
HT 125 b,M
HT 126 a,M
HT 126 b,M
HT 127 a,B
HT 127 b,B
HT 128 a,E
HT 128 b,E
HT 131 a,M
HT 131 b,M
HT 135 a,V
HT 135 b,V
HT 136 a,C
HT 136 b,C
HT 154 A,M
HT 154 B,E
HT 154 C,X
HT 154 E,N
HT 154 G,X
HT 154 J a,X
HT 154 J b,X
HT 154 K,X
HT 154 L,X
HT 154 M,X
HT 154 N,X
HT 62 + 73,M
HT 73 + 62,M
HT 79 + 83,X
HT 85 a,B
HT 85 b,B
HT 86 a,E
HT 86 b,E
HT 93 a,E
HT 93 b,E
HT 94 a,A
HT 94 b,A
HT 95 a,E
HT 95 b,E
HT 96 a,M
HT 96 b,M
HT 97 a,B
HT 97 b,B
HT 98 a,P
HT 98 b,P
HT 99 a,M
HT 99 b,M